,time,coordinate,text
187,2015-02-21 17:40:07 -0800,nan,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
188,2015-02-21 17:18:10 -0800,nan,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?
189,2015-02-21 17:15:29 -0800,"[38.9128188, -77.00798226]",@VirginAmerica you will match my #AmericanAirlines status? Cool!
190,2015-02-21 17:14:35 -0800,nan,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉
191,2015-02-21 17:13:52 -0800,nan,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business
192,2015-02-21 17:13:29 -0800,nan,@VirginAmerica you suck!
193,2015-02-21 16:50:34 -0800,nan,@VirginAmerica thanks!
194,2015-02-21 16:19:33 -0800,nan,@VirginAmerica Just DM'd. Same issue persisting.
195,2015-02-21 15:47:19 -0800,nan,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
196,2015-02-21 15:29:51 -0800,nan,@VirginAmerica trying to book a flight &amp; your site is down 😁
197,2015-02-21 15:27:52 -0800,nan,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
198,2015-02-21 14:34:09 -0800,nan,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
199,2015-02-21 14:28:57 -0800,nan,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue
200,2015-02-21 14:27:45 -0800,nan,@VirginAmerica Your website is down and I'm trying to check in!
201,2015-02-21 14:24:16 -0800,nan,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
202,2015-02-21 14:23:24 -0800,nan,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!
203,2015-02-21 14:21:00 -0800,nan,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4
204,2015-02-21 13:52:20 -0800,nan,@VirginAmerica Keep up the great work :)
205,2015-02-21 13:52:02 -0800,"[32.84359605, -96.84910929]",@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
206,2015-02-21 13:41:02 -0800,nan,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
207,2015-02-21 13:32:58 -0800,nan,@VirginAmerica can you please get me to the new york area before monday afternoon
208,2015-02-21 13:32:49 -0800,nan,"@VirginAmerica Thanks so much for the awesome support, you guys rock!"
209,2015-02-21 13:30:18 -0800,nan,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback
