,LotFrontage,LotArea,Utilities,MasVnrType,MasVnrArea,HouseStyle,Heating,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,Electrical,1stFlrSF,2ndFlrSF,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,SaleType,SaleCondition,SalePrice
13,91.0,10652,AllPub,Stone,306.0,1Story,GasA,Gd,TA,Av,Unf,0,Unf,0,SBrkr,1494,0,1,Attchd,RFn,3,840,TA,TA,160,33,0,0,0,New,Partial,279500
14,,10920,AllPub,BrkFace,212.0,1Story,GasA,TA,TA,No,BLQ,733,Unf,0,SBrkr,1253,0,1,Attchd,RFn,1,352,TA,TA,0,213,176,0,0,WD,Normal,157000
15,51.0,6120,AllPub,None,0.0,1.5Unf,GasA,TA,TA,No,Unf,0,Unf,0,FuseA,854,0,0,Detchd,Unf,2,576,TA,TA,48,112,0,0,0,WD,Normal,132000
16,,11241,AllPub,BrkFace,180.0,1Story,GasA,TA,TA,No,ALQ,578,Unf,0,SBrkr,1004,0,1,Attchd,Fin,2,480,TA,TA,0,0,0,0,0,WD,Normal,149000
17,72.0,10791,AllPub,None,0.0,1Story,GasA,,,,,0,,0,SBrkr,1296,0,0,CarPort,Unf,2,516,TA,TA,0,0,0,0,0,WD,Normal,90000
18,66.0,13695,AllPub,None,0.0,1Story,GasA,TA,TA,No,GLQ,646,Unf,0,SBrkr,1114,0,0,Detchd,Unf,2,576,TA,TA,0,102,0,0,0,WD,Normal,159000
19,70.0,7560,AllPub,None,0.0,1Story,GasA,TA,TA,No,LwQ,504,Unf,0,SBrkr,1339,0,0,Attchd,Unf,1,294,TA,TA,0,0,0,0,0,COD,Abnorml,139000
20,101.0,14215,AllPub,BrkFace,380.0,2Story,GasA,Ex,TA,Av,Unf,0,Unf,0,SBrkr,1158,1218,1,BuiltIn,RFn,3,853,TA,TA,240,154,0,0,0,New,Partial,325300
21,57.0,7449,AllPub,None,0.0,1.5Unf,GasA,TA,TA,No,Unf,0,Unf,0,FuseF,1108,0,1,Attchd,Unf,1,280,TA,TA,0,0,205,0,0,WD,Normal,139400
22,75.0,9742,AllPub,BrkFace,281.0,1Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,1795,0,1,Attchd,RFn,2,534,TA,TA,171,159,0,0,0,WD,Normal,230000
23,44.0,4224,AllPub,None,0.0,1Story,GasA,Gd,TA,No,GLQ,840,Unf,0,SBrkr,1060,0,1,Attchd,Unf,2,572,TA,TA,100,110,0,0,0,WD,Normal,129900
24,,8246,AllPub,None,0.0,1Story,GasA,TA,TA,Mn,Rec,188,ALQ,668,SBrkr,1060,0,1,Attchd,Unf,1,270,TA,TA,406,90,0,0,0,WD,Normal,154000
25,110.0,14230,AllPub,Stone,640.0,1Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,1600,0,1,Attchd,RFn,3,890,TA,TA,0,56,0,0,0,WD,Normal,256300
26,60.0,7200,AllPub,None,0.0,1Story,GasA,TA,TA,Mn,BLQ,234,Rec,486,SBrkr,900,0,0,Detchd,Unf,2,576,TA,TA,222,32,0,0,0,WD,Normal,134800
27,98.0,11478,AllPub,Stone,200.0,1Story,GasA,Ex,TA,No,GLQ,1218,Unf,0,SBrkr,1704,0,1,Attchd,RFn,3,772,TA,TA,0,50,0,0,0,WD,Normal,306000
28,47.0,16321,AllPub,None,0.0,1Story,GasA,TA,TA,Gd,BLQ,1277,Unf,0,SBrkr,1600,0,2,Attchd,RFn,1,319,TA,TA,288,258,0,0,0,WD,Normal,207500
29,60.0,6324,AllPub,None,0.0,1Story,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,520,0,0,Detchd,Unf,1,240,Fa,TA,49,0,87,0,0,WD,Normal,68500
30,50.0,8500,AllPub,None,0.0,2Story,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,649,668,0,Detchd,Unf,1,250,TA,Fa,0,54,172,0,0,WD,Normal,40000
31,,8544,AllPub,None,0.0,1Story,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,1228,0,0,Attchd,Unf,1,271,TA,TA,0,65,0,0,0,WD,Normal,149350
32,85.0,11049,AllPub,None,0.0,1Story,GasA,Ex,TA,Av,Unf,0,Unf,0,SBrkr,1234,0,0,Attchd,RFn,2,484,TA,TA,0,30,0,0,0,WD,Normal,179900
33,70.0,10552,AllPub,None,0.0,1Story,GasA,TA,TA,No,Rec,1018,Unf,0,SBrkr,1700,0,1,Attchd,RFn,2,447,TA,TA,0,38,0,0,0,WD,Normal,165500
34,60.0,7313,AllPub,BrkFace,246.0,1Story,GasA,Ex,TA,No,GLQ,1153,Unf,0,SBrkr,1561,0,1,Attchd,Fin,2,556,TA,TA,203,47,0,0,0,WD,Normal,277500
35,108.0,13418,AllPub,Stone,132.0,2Story,GasA,Ex,TA,Av,Unf,0,Unf,0,SBrkr,1132,1320,1,BuiltIn,Fin,3,691,TA,TA,113,32,0,0,0,WD,Normal,309000
36,112.0,10859,AllPub,None,0.0,1Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,1097,0,0,Attchd,Unf,2,672,TA,TA,392,64,0,0,0,WD,Normal,145000
37,74.0,8532,AllPub,BrkFace,650.0,1Story,GasA,TA,TA,No,Rec,1213,Unf,0,SBrkr,1297,0,1,Attchd,Fin,2,498,TA,TA,0,0,0,0,0,WD,Normal,153000
38,68.0,7922,AllPub,None,0.0,1Story,GasA,TA,TA,No,GLQ,731,Unf,0,SBrkr,1057,0,0,Detchd,Unf,1,246,TA,TA,0,52,0,0,0,WD,Abnorml,109000
39,65.0,6040,AllPub,None,0.0,1Story,GasA,,,,,0,,0,FuseP,1152,0,0,,,0,0,,,0,0,0,0,0,WD,AdjLand,82000
40,84.0,8658,AllPub,BrkFace,101.0,1Story,GasA,TA,TA,No,Rec,643,Unf,0,SBrkr,1324,0,1,Attchd,RFn,2,440,TA,TA,0,138,0,0,0,WD,Abnorml,160000
41,115.0,16905,AllPub,None,0.0,1Story,GasA,TA,TA,Gd,BLQ,967,Unf,0,SBrkr,1328,0,2,Attchd,RFn,1,308,TA,TA,0,104,0,0,0,WD,Normal,170000
42,,9180,AllPub,None,0.0,SFoyer,GasA,Gd,TA,Av,ALQ,747,LwQ,93,SBrkr,884,0,0,Attchd,RFn,2,504,TA,Gd,240,0,0,0,0,WD,Normal,144000
43,,9200,AllPub,None,0.0,1Story,GasA,Gd,TA,Av,LwQ,280,BLQ,491,SBrkr,938,0,0,Detchd,Unf,1,308,TA,TA,145,0,0,0,0,WD,Normal,130250
44,70.0,7945,AllPub,None,0.0,1Story,GasA,TA,TA,No,ALQ,179,BLQ,506,FuseA,1150,0,0,Attchd,RFn,1,300,TA,TA,0,0,0,0,0,WD,Normal,141000
45,61.0,7658,AllPub,BrkFace,412.0,1Story,GasA,Ex,TA,No,GLQ,456,Unf,0,SBrkr,1752,0,1,Attchd,RFn,2,576,TA,TA,196,82,0,0,0,WD,Normal,319900
46,48.0,12822,AllPub,None,0.0,1.5Fin,GasA,Ex,TA,No,GLQ,1351,Unf,0,SBrkr,1518,631,1,Attchd,RFn,2,670,TA,TA,168,43,0,0,198,WD,Abnorml,239686
47,84.0,11096,AllPub,None,0.0,1Story,GasA,Gd,TA,Av,GLQ,24,Unf,0,SBrkr,1656,0,0,Attchd,RFn,3,826,TA,TA,0,146,0,0,0,WD,Normal,249700
48,33.0,4456,AllPub,None,0.0,2Story,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,736,716,0,,,0,0,,,0,0,102,0,0,New,Partial,113000
49,66.0,7742,AllPub,None,0.0,1Story,GasA,TA,TA,No,BLQ,763,Unf,0,SBrkr,955,0,0,Attchd,Unf,1,386,TA,TA,0,0,0,0,0,WD,Normal,127000
50,,13869,AllPub,None,0.0,2Story,GasA,Gd,TA,Av,GLQ,182,Unf,0,SBrkr,794,676,0,Attchd,Fin,2,388,TA,TA,0,75,0,0,0,WD,Normal,177000
51,52.0,6240,AllPub,None,0.0,1.5Fin,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,816,0,1,Detchd,Unf,2,528,TA,TA,112,0,0,0,0,WD,Normal,114500
52,110.0,8472,AllPub,None,0.0,1Story,GasA,Gd,TA,Gd,LwQ,104,GLQ,712,SBrkr,816,0,0,CarPort,Unf,2,516,TA,TA,106,0,0,0,0,WD,Normal,110000
53,68.0,50271,AllPub,None,0.0,1Story,GasA,Ex,TA,Gd,GLQ,1810,Unf,0,SBrkr,1842,0,1,Attchd,Fin,3,894,TA,TA,857,72,0,0,0,WD,Normal,385000
54,60.0,7134,AllPub,None,0.0,SLvl,GasA,TA,TA,No,ALQ,384,Unf,0,SBrkr,1360,0,1,Detchd,Unf,2,572,TA,TA,0,50,0,0,0,WD,Normal,130000
55,100.0,10175,AllPub,BrkFace,272.0,1Story,GasA,TA,TA,No,BLQ,490,Unf,0,SBrkr,1425,0,1,Attchd,RFn,2,576,TA,TA,0,0,0,407,0,WD,Normal,180500
56,24.0,2645,AllPub,BrkFace,456.0,2Story,GasA,Gd,TA,No,GLQ,649,Unf,0,SBrkr,983,756,0,Attchd,Fin,2,480,TA,TA,115,0,0,0,0,WD,Abnorml,172500
57,89.0,11645,AllPub,None,0.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,860,860,0,Attchd,RFn,2,565,TA,TA,0,70,0,0,0,WD,Normal,196500
58,66.0,13682,AllPub,BrkFace,1031.0,2Story,GasA,Ex,TA,Gd,Unf,0,Unf,0,SBrkr,1426,1519,1,BuiltIn,Fin,3,641,TA,TA,192,0,37,0,0,New,Partial,438780
59,60.0,7200,AllPub,None,0.0,1Story,GasA,TA,TA,Av,ALQ,632,Unf,0,SBrkr,780,0,0,Detchd,Unf,1,352,TA,TA,196,0,0,0,0,WD,Normal,124900
60,63.0,13072,AllPub,None,0.0,1Story,GasA,Gd,TA,No,ALQ,941,Unf,0,SBrkr,1158,0,0,Detchd,Unf,2,576,TA,TA,0,50,0,0,0,New,Partial,158000
61,60.0,7200,AllPub,None,0.0,2.5Unf,GasA,TA,Fa,No,Unf,0,Unf,0,SBrkr,581,530,0,Detchd,Unf,1,288,TA,TA,0,0,144,0,0,WD,Normal,101000
62,44.0,6442,AllPub,Stone,178.0,1Story,GasA,Gd,Gd,Mn,GLQ,24,Unf,0,SBrkr,1370,0,1,Attchd,RFn,2,484,TA,TA,120,49,0,0,0,WD,Normal,202500
63,50.0,10300,AllPub,None,0.0,2Story,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,902,808,0,Detchd,Unf,2,480,TA,TA,12,11,64,0,0,WD,Normal,140000
64,,9375,AllPub,BrkFace,573.0,2Story,GasA,Gd,TA,No,GLQ,739,Unf,0,SBrkr,1057,977,0,Attchd,RFn,2,645,TA,TA,576,36,0,0,0,WD,Normal,219500
65,76.0,9591,AllPub,BrkFace,344.0,2Story,GasA,Ex,TA,Av,Unf,0,Unf,0,SBrkr,1143,1330,1,BuiltIn,RFn,3,852,TA,TA,192,151,0,0,0,WD,Normal,317000
66,,19900,AllPub,BrkFace,287.0,1Story,GasA,Gd,TA,Gd,GLQ,912,Unf,0,SBrkr,2207,0,1,Attchd,RFn,2,576,TA,TA,301,0,0,0,0,WD,Normal,180000
67,72.0,10665,AllPub,BrkFace,167.0,1Story,GasA,Gd,TA,Av,GLQ,1013,Unf,0,SBrkr,1479,0,0,Attchd,RFn,2,558,TA,TA,144,29,0,0,0,WD,Normal,226000
68,47.0,4608,AllPub,None,0.0,1Story,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,747,0,0,Attchd,Unf,1,220,TA,TA,0,0,0,0,0,WD,Normal,80000
69,81.0,15593,AllPub,None,0.0,1.5Fin,GasW,TA,TA,No,BLQ,603,Unf,0,SBrkr,1304,983,1,Attchd,Fin,2,667,TA,TA,0,21,114,0,0,WD,Normal,225000
70,95.0,13651,AllPub,BrkFace,1115.0,1Story,GasA,Gd,TA,Gd,ALQ,1880,Unf,0,SBrkr,2223,0,2,Attchd,Fin,2,516,TA,TA,300,0,0,0,0,WD,Normal,244000
71,69.0,7599,AllPub,None,0.0,1Story,GasA,TA,TA,No,ALQ,565,Unf,0,SBrkr,845,0,0,Detchd,Unf,2,360,TA,TA,0,0,0,0,0,WD,Normal,129500
72,74.0,10141,AllPub,BrkFace,40.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,885,833,1,Attchd,Fin,2,427,TA,TA,0,94,0,0,291,WD,Normal,185000
73,85.0,10200,AllPub,BrkFace,104.0,1Story,GasA,TA,TA,No,ALQ,320,BLQ,362,SBrkr,1086,0,0,Attchd,Unf,2,490,TA,TA,0,0,0,0,0,WD,Normal,144900
74,60.0,5790,AllPub,None,0.0,2Story,GasA,Fa,TA,No,Unf,0,Unf,0,SBrkr,840,765,0,Detchd,Unf,1,379,TA,TA,0,0,202,0,0,WD,Normal,107400
75,21.0,1596,AllPub,None,0.0,SLvl,GasA,Gd,TA,Gd,GLQ,462,Unf,0,SBrkr,526,462,0,BuiltIn,Unf,1,297,TA,TA,120,101,0,0,0,WD,Normal,91000
76,,8475,AllPub,None,0.0,1Story,GasA,TA,TA,No,ALQ,228,Unf,0,FuseA,952,0,0,Detchd,Unf,1,283,TA,TA,0,0,0,0,0,WD,Normal,135750
77,50.0,8635,AllPub,None,0.0,1.5Fin,GasA,TA,TA,No,BLQ,336,GLQ,41,SBrkr,1072,213,0,Detchd,Unf,1,240,TA,TA,0,0,0,0,0,WD,Normal,127000
78,72.0,10778,AllPub,None,0.0,1Story,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,1768,0,0,,,0,0,,,0,0,0,0,0,WD,Normal,136500
79,60.0,10440,AllPub,None,0.0,2Story,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,682,548,0,Detchd,Unf,2,440,TA,TA,74,0,128,0,0,WD,Normal,110000
80,100.0,13000,AllPub,BrkFace,576.0,2Story,GasA,Gd,TA,No,Rec,448,Unf,0,SBrkr,1182,960,1,Attchd,Fin,1,509,TA,TA,0,72,0,0,252,WD,Normal,193500
81,32.0,4500,AllPub,BrkFace,443.0,1Story,GasA,Ex,Gd,No,GLQ,1201,Unf,0,SBrkr,1337,0,0,Attchd,Fin,2,405,TA,TA,0,199,0,0,0,WD,Normal,153500
82,78.0,10206,AllPub,Stone,468.0,1Story,GasA,Gd,TA,No,GLQ,33,Unf,0,SBrkr,1563,0,1,Attchd,RFn,3,758,TA,TA,144,99,0,0,0,WD,Normal,245000
83,80.0,8892,AllPub,BrkCmn,66.0,1Story,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,1065,0,0,Detchd,Unf,2,461,TA,TA,74,0,0,0,0,COD,Normal,126500
84,,8530,AllPub,BrkFace,22.0,SLvl,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,804,670,1,BuiltIn,Fin,2,400,TA,TA,120,72,0,0,0,WD,Normal,168500
85,121.0,16059,AllPub,BrkFace,284.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,1301,1116,1,Attchd,Unf,2,462,TA,TA,127,82,0,0,0,WD,Normal,260000
86,122.0,11911,AllPub,None,0.0,2Story,GasA,Gd,TA,Av,Unf,0,Unf,0,SBrkr,684,876,1,BuiltIn,Fin,2,400,TA,TA,100,38,0,0,0,WD,Normal,174000
87,40.0,3951,AllPub,Stone,76.0,2Story,GasA,Gd,TA,Av,Unf,0,Unf,0,SBrkr,612,612,0,Detchd,RFn,2,528,TA,TA,0,234,0,0,0,New,Partial,164500
88,105.0,8470,AllPub,None,0.0,1.5Fin,GasA,TA,Fa,No,Unf,0,Unf,0,SBrkr,1013,0,0,,,0,0,,,0,0,156,0,0,ConLD,Abnorml,85000
89,60.0,8070,AllPub,None,0.0,1Story,GasA,Gd,TA,No,GLQ,588,Unf,0,SBrkr,990,0,0,,,0,0,,,0,0,0,0,0,WD,Normal,123600
90,60.0,7200,AllPub,None,0.0,1Story,GasA,,,,,0,,0,FuseA,1040,0,0,Detchd,Unf,2,420,TA,TA,0,29,0,0,0,WD,Normal,109900
91,85.0,8500,AllPub,BrkCmn,203.0,1Story,GasA,TA,TA,No,Rec,600,Unf,0,SBrkr,1235,0,0,Attchd,Unf,2,480,TA,TA,0,0,0,0,0,WD,Abnorml,98600
92,80.0,13360,AllPub,None,0.0,1Story,GasA,Gd,TA,No,ALQ,713,Unf,0,SBrkr,964,0,0,Detchd,Unf,2,432,TA,TA,0,0,44,0,0,WD,Normal,163500
93,60.0,7200,AllPub,None,0.0,2.5Unf,GasW,TA,Fa,Mn,Rec,1046,Unf,0,SBrkr,1260,1031,1,Detchd,Unf,2,506,TA,TA,0,0,0,0,99,WD,Normal,133900
94,69.0,9337,AllPub,None,0.0,2Story,GasA,Gd,TA,No,GLQ,648,Unf,0,SBrkr,905,881,0,Attchd,RFn,2,684,TA,TA,0,162,0,0,0,WD,Normal,204750
95,,9765,AllPub,BrkFace,68.0,2Story,GasA,Gd,Gd,No,ALQ,310,Unf,0,SBrkr,680,790,1,BuiltIn,Fin,2,420,TA,TA,232,63,0,0,0,WD,Normal,185000
96,78.0,10264,AllPub,BrkFace,183.0,1Story,GasA,Gd,TA,Av,ALQ,1162,Unf,0,SBrkr,1588,0,0,Attchd,RFn,2,472,TA,TA,158,29,0,0,0,WD,Normal,214000
97,73.0,10921,AllPub,BrkFace,48.0,1Story,GasA,TA,TA,No,Rec,520,Unf,0,FuseF,960,0,0,Attchd,Fin,1,432,TA,TA,120,0,0,0,0,WD,Normal,94750
98,85.0,10625,AllPub,None,0.0,1Story,GasA,TA,TA,No,ALQ,108,Unf,0,SBrkr,835,0,0,Basment,Unf,1,366,Fa,TA,0,0,77,0,0,COD,Abnorml,83000
99,77.0,9320,AllPub,None,0.0,1Story,GasA,TA,TA,No,ALQ,569,Unf,0,SBrkr,1225,0,0,,,0,0,,,352,0,0,0,0,WD,Normal,128950
100,,10603,AllPub,BrkFace,28.0,1Story,GasA,TA,TA,Mn,ALQ,1200,Unf,0,SBrkr,1610,0,2,Attchd,RFn,2,480,TA,TA,168,68,0,0,0,WD,Normal,205000
101,77.0,9206,AllPub,BrkFace,336.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,977,755,1,Attchd,Fin,2,476,TA,TA,192,46,0,0,0,WD,Normal,178000
102,64.0,7018,AllPub,None,0.0,1Story,GasA,,,,,0,,0,SBrkr,1535,0,0,Attchd,Unf,2,410,TA,TA,0,0,0,0,0,WD,Alloca,118964
103,94.0,10402,AllPub,None,0.0,1Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,1226,0,0,Attchd,RFn,3,740,TA,TA,0,36,0,0,0,WD,Normal,198900
104,,7758,AllPub,BrkFace,600.0,1.5Fin,GasA,TA,TA,No,LwQ,224,Unf,0,FuseF,1226,592,2,Detchd,Unf,1,240,TA,TA,0,0,0,0,184,WD,Normal,169500
105,75.0,9375,AllPub,BrkFace,768.0,2Story,GasA,Ex,TA,No,Unf,0,Unf,0,SBrkr,1053,939,1,Attchd,RFn,2,648,TA,TA,140,45,0,0,0,WD,Normal,250000
106,60.0,10800,AllPub,None,0.0,1Story,GasA,Fa,TA,No,Unf,0,Unf,0,SBrkr,1047,0,0,Detchd,Unf,1,273,Fa,Fa,0,0,0,0,0,WD,Normal,100000
107,50.0,6000,AllPub,None,0.0,1Story,GasA,TA,TA,No,ALQ,104,BLQ,169,SBrkr,789,0,0,Detchd,Unf,1,250,TA,TA,0,0,0,0,0,WD,Partial,115000
108,85.0,8500,AllPub,None,0.0,1.5Fin,GasW,TA,TA,No,Unf,0,Unf,0,FuseF,997,520,0,,,0,0,,,0,0,144,0,0,WD,Normal,115000
109,105.0,11751,AllPub,BrkFace,480.0,1Story,GasA,Gd,TA,No,BLQ,705,Unf,0,SBrkr,1844,0,1,Attchd,RFn,2,546,TA,TA,0,122,0,0,0,COD,Normal,190000
110,75.0,9525,AllPub,None,0.0,1.5Fin,GasA,TA,Fa,No,Rec,444,Unf,0,SBrkr,1216,639,0,Attchd,Unf,1,325,TA,TA,182,0,0,0,0,WD,Normal,136900
111,,7750,AllPub,None,0.0,SLvl,GasA,Gd,TA,No,GLQ,250,Unf,0,SBrkr,774,656,1,BuiltIn,Fin,2,400,TA,TA,180,0,0,0,0,WD,Normal,180000
112,77.0,9965,AllPub,Stone,220.0,2Story,GasA,Ex,TA,Av,GLQ,984,Unf,0,SBrkr,1282,1414,1,BuiltIn,Fin,3,792,TA,TA,120,184,0,0,168,New,Partial,383970
113,,21000,AllPub,BrkFace,184.0,1Story,GasA,Gd,TA,Mn,ALQ,35,Rec,869,SBrkr,2259,0,2,Basment,Unf,2,450,TA,TA,166,120,192,0,0,COD,Abnorml,217000
114,61.0,7259,AllPub,None,0.0,2Story,GasA,TA,TA,No,ALQ,774,LwQ,150,SBrkr,1436,884,1,Detchd,Unf,1,180,TA,TA,224,0,0,0,0,WD,Normal,259500
115,34.0,3230,AllPub,BrkFace,1129.0,2Story,GasA,Gd,TA,No,GLQ,419,Unf,0,SBrkr,729,729,1,Detchd,Unf,2,440,TA,TA,0,32,0,0,0,WD,Normal,176000
116,,11616,AllPub,BrkFace,116.0,1Story,GasA,TA,TA,No,LwQ,170,BLQ,670,SBrkr,1092,0,1,Attchd,Unf,1,288,TA,TA,0,20,144,0,0,WD,Normal,139000
117,74.0,8536,AllPub,None,0.0,1Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,1125,0,0,Attchd,Unf,2,430,TA,TA,80,64,0,0,0,New,Partial,155000
118,90.0,12376,AllPub,None,0.0,2Story,GasA,Gd,TA,Mn,GLQ,1470,Unf,0,SBrkr,1699,1523,2,Attchd,Unf,3,594,TA,TA,367,0,0,0,0,WD,Normal,320000
119,65.0,8461,AllPub,None,0.0,2Story,GasA,Gd,TA,No,Unf,0,Unf,0,SBrkr,728,728,1,Attchd,Fin,2,390,TA,TA,0,24,0,0,0,New,Partial,163990
120,,21453,AllPub,None,0.0,SLvl,GasA,TA,TA,Gd,ALQ,938,Unf,0,SBrkr,988,0,2,Attchd,Unf,2,540,TA,TA,0,130,0,130,0,WD,Normal,180000
121,50.0,6060,AllPub,None,0.0,1.5Fin,GasA,TA,TA,No,Unf,0,Unf,0,SBrkr,772,351,0,Detchd,Unf,1,264,TA,TA,0,0,140,0,0,WD,Normal,100000
122,75.0,9464,AllPub,BrkFace,135.0,1Story,GasA,TA,TA,No,BLQ,570,Unf,0,SBrkr,1080,0,0,Attchd,Unf,1,288,TA,TA,0,0,0,0,130,WD,Normal,136000
123,55.0,7892,AllPub,None,0.0,1Story,GasA,Gd,TA,No,GLQ,300,Unf,0,SBrkr,1199,0,0,Attchd,RFn,2,530,TA,TA,0,63,0,0,0,WD,Normal,153900
124,48.0,17043,AllPub,None,0.0,1Story,GasA,Gd,Fa,No,Unf,0,Unf,0,SBrkr,1586,0,1,Attchd,Unf,2,435,TA,TA,192,0,0,0,0,WD,Normal,181000
125,60.0,6780,AllPub,None,0.0,1.5Fin,GasA,TA,TA,Av,GLQ,490,Unf,0,SBrkr,520,0,0,,,0,0,,,53,0,0,0,0,WD,Normal,84500
126,,4928,AllPub,None,0.0,1Story,GasA,Gd,TA,No,ALQ,120,Unf,0,SBrkr,958,0,1,Attchd,RFn,2,440,TA,TA,0,205,0,0,0,WD,Normal,128000
127,55.0,4388,AllPub,None,0.0,1.5Unf,GasA,TA,TA,No,LwQ,116,Unf,0,SBrkr,840,0,1,,,0,0,,,0,0,0,0,0,WD,Normal,87000
128,69.0,7590,AllPub,BrkFace,266.0,2Story,GasA,TA,TA,No,BLQ,512,Unf,0,SBrkr,660,688,1,Attchd,RFn,2,453,TA,TA,188,108,0,0,0,WD,Normal,155000
129,69.0,8973,AllPub,BrkFace,85.0,1Story,GasA,TA,TA,No,Rec,567,BLQ,28,FuseA,1053,0,0,2Types,RFn,2,750,TA,TA,0,80,0,180,0,WD,Abnorml,150000
130,88.0,14200,AllPub,BrkFace,309.0,2Story,GasA,TA,TA,No,Rec,445,Unf,0,SBrkr,1216,941,2,Attchd,Fin,2,487,TA,TA,105,66,0,0,0,WD,Normal,226000
131,,12224,AllPub,BrkFace,40.0,2Story,GasA,Gd,TA,No,GLQ,695,Unf,0,SBrkr,1022,1032,1,BuiltIn,RFn,2,390,TA,TA,24,48,0,0,0,WD,Normal,244000
